3.409800988733728833e-01,9.652440268990604366e+00,2.730306129423202277e-01
2.082995936949270932e-02,4.971357683060860233e-01,1.821170317050225043e-02
1.328846831527567569e-03,2.569060153657714771e-02,8.643776185475440712e-04
6.976625782112939108e-05,1.557053461050440096e-03,6.578839168056723982e-05
6.209658744524841389e-06,9.350771716550550033e-05,4.878834129915324359e-06
8.057410619875856221e-07,5.927193862959189161e-06,8.448259741830736074e-07
1.059664875553761874e-07,4.732068135676177090e-07,6.981635429702817835e-08
2.460700096805426513e-08,7.910384901899742664e-08,1.913303324007667965e-08
6.038757247058635793e-09,1.031972884432912552e-08,5.025769166389466155e-09
4.223422117740120041e-10,2.676556734355136552e-10,1.121763925955289198e-10
